OrderID, ProductID, Quantity, Discount
2131,26,3,45.73
4764,85,2,1.49
1418,15,1,5.28
4155,43,2,46.54
3597,39,1,23.96
3549,48,4,49.67
3841,72,3,49.78
1045,41,1,22.19
2415,75,4,14.24
1995,22,1,4.92
1872,100,5,20.48
1716,38,4,8.51
2938,83,2,28.36
157,29,4,5.68
4816,62,3,13.38
1121,24,1,21.8
4906,52,4,42.01
1763,19,4,6.31
1687,86,1,6.69
245,49,1,14.08
2353,72,3,34.5
2885,49,5,6.13
4594,43,5,14.02
3079,22,1,43.04
2443,70,2,25.24
597,53,2,47.11
1360,66,4,3.28
4682,58,2,33.02
1762,74,5,18.14
4232,61,4,28.57
1855,58,3,1.28
122,46,2,34.03
2409,1,5,18.45
919,13,5,31.49
667,50,1,24.8
4884,4,1,47.49
3659,1,5,22.7
1659,36,5,45.44
535,65,5,20.15
4300,84,4,0.18
3270,93,4,8.95
2427,89,2,46.99
418,4,4,18.78
1969,38,3,35
3584,42,2,31.6
3620,69,2,24.33
3115,7,3,39.29
378,89,4,12.38
6,47,2,1.45
1992,75,2,36.32
1352,57,5,34.64
1689,34,4,23.63
2579,77,5,5.84
3106,72,2,18.48
1060,43,5,45.5
2222,38,3,26.86
2165,78,2,43
2884,42,2,44.33
1894,38,1,21.51
3245,17,4,28.73
661,10,2,3.95
1731,20,5,10.03
3655,7,5,32.76
1539,37,4,12.9
315,100,2,14.43
3342,63,4,44.97
4249,56,3,49.2
1567,43,2,10.31
949,70,4,41.31
3147,18,1,48.19
4469,56,3,33.59
4423,15,5,15.19
792,100,5,9.07
3743,37,5,34.7
2594,69,1,23.54
763,15,4,26.46
1262,38,1,38.85
3713,45,4,10.76
2036,86,3,13.23
1159,86,1,45.01
4031,46,4,37.95
999,47,1,23.36
394,62,4,32.66
1785,86,2,5.44
1924,19,1,1.54
3815,98,2,4.72
2361,56,2,16.09
1040,63,5,5.07
3414,9,4,44.48
3524,82,5,20.75
2660,60,3,12
4265,58,2,28.49
2044,65,5,40.86
4216,10,1,26.97
1433,46,4,37.48
732,93,4,45.65
1651,22,1,17.45
1497,91,4,18
1513,63,2,36.03
3081,30,5,35.91
2507,59,5,9.89
4577,13,1,29.75
2122,30,1,17.58
3530,26,1,5.96
4376,94,2,27.39
4168,60,3,28.66
1695,2,3,48.72
3420,16,2,41.81
348,73,5,44.97
1800,14,5,13.65
1848,19,3,24.8
3760,33,4,14.28
2488,23,3,13.31
3020,46,2,20
2485,6,2,0.63
3266,11,3,33.72
1538,57,2,49.2
3941,66,1,2.14
51,50,2,46
4797,76,3,44.5
2516,12,1,47.69
2069,90,3,3.54
1122,14,3,28.26
3033,25,2,18.47
4467,68,1,15.61
106,98,4,15.5
2825,3,1,8.37
1028,10,2,45.78
4513,95,1,12.73
1136,46,2,29.53
4982,95,4,37.02
1044,85,4,19.83
275,10,3,34.34
960,24,4,10.23
881,34,2,34.51
385,73,5,6.37
4088,18,5,49.34
1251,10,5,13.94
2992,26,2,4.13
2344,64,5,20.02
847,90,2,27.49
48,73,2,47.27
3298,79,5,48.01
3966,75,3,1.14
1401,66,2,7.19
4622,13,5,18.4
4338,77,2,30.46
2993,49,4,37.93
542,46,4,45.43
3878,29,2,14.7
4400,50,5,5.99
2981,42,2,12.01
4593,31,4,46.82
1085,7,3,40.62
1594,61,4,38.5
4192,75,3,38.03
4083,45,2,33.03
573,50,4,17.61
1273,17,3,26.39
4925,32,4,24.99
4029,37,2,33.19
3928,31,1,21.87
2737,85,5,30.79
1314,2,1,6.34
399,93,5,26.4
442,56,2,8.67
4440,64,5,9.56
3854,66,4,5.2
3649,97,4,13.5
4556,87,1,48.51
4579,13,2,15.8
3828,49,2,17.35
608,5,1,45.28
3549,91,1,43.62
3002,76,5,41.19
3476,11,4,6.7
204,28,3,19.53
4048,86,2,37.34
323,83,1,32.5
4365,20,5,28.8
3747,28,3,49.22
4934,99,1,16.94
2055,35,5,33.98
3990,96,2,46.57
1486,35,2,40.07
2995,7,5,37.44
1035,44,3,32.38
2235,48,1,5.11
3780,31,5,21.07
4433,33,5,39.65
4351,35,2,36.35
1468,39,1,29.36
2918,27,2,6.84
3223,45,4,23.37
2540,19,1,44.51
2140,95,1,44.2
965,68,1,32.09
4742,52,1,19.5
82,39,1,10.46
649,46,3,20.55
4240,12,1,27.33
742,40,2,1.03
1226,21,2,4.78
686,83,5,23.01
88,94,4,19.17
3724,14,2,30.26
1771,68,2,42.86
4124,97,5,43.3
2560,23,1,41.21
2114,62,5,45.75
2731,97,1,4.96
1319,69,1,37.01
4656,1,3,4.79
4478,97,2,36.96
1375,24,2,30.88
2207,62,4,22.88
948,69,5,28.42
2668,9,1,3.57
1416,48,4,25.54
875,74,4,20.39
2632,87,2,1.5
3721,15,1,34.74
1123,78,3,32.7
1652,25,5,9.18
4289,34,3,49.17
2132,15,2,44.71
3483,8,3,42.28
3578,42,2,49.42
4214,86,4,33
1005,30,1,20.74
1973,97,4,1.1
4308,60,4,12.01
3171,67,3,27.1
222,75,4,26.41
4873,12,2,8.68
4276,45,5,29.02
3832,27,4,15.34
1343,16,2,18.57
4089,9,3,2.71
3283,66,3,45.02
765,87,5,30.8
4252,31,5,16.53
3666,48,5,47.19
3842,48,3,14.33
3570,7,4,33.18
4883,45,2,7.27
2435,72,1,15.71
4162,53,2,24.15
3864,7,5,0.88
4158,84,4,46.98
3547,27,4,19.44
1499,89,2,47.45
1483,53,5,31.78
1450,6,2,44.87
3656,80,1,37.87
3514,6,3,14.85
1229,33,2,22.42
2617,25,4,0.82
2577,67,2,7.27
2621,92,5,47.17
4870,69,5,39.04
4481,64,4,3.36
4845,44,3,31.66
1395,39,2,1.39
492,75,5,4.55
2544,28,1,49.76
1156,35,2,32.72
891,16,2,38.6
1674,44,4,0.45
4929,96,1,18
2083,97,5,35.18
1023,93,1,7.97
4187,48,1,48.74
1072,70,4,20.66
3799,24,5,49.44
497,81,4,19.73
741,81,2,29.58
2975,9,5,40.81
4721,88,2,26.88
3349,61,5,10.94
2695,68,3,38.42
2022,61,3,24.3
1943,66,1,29.67
4427,62,4,35.06
4503,31,4,37.09
1580,60,3,24.29
902,67,1,44.92
3869,48,1,39.33
3005,7,5,39.07
4865,79,1,2.39
4418,37,1,33.61
1971,93,2,31.81
2758,15,3,10.47
2107,88,3,32.2
3533,53,2,9.39
3814,12,3,1.67
2080,99,1,33.33
1593,84,4,20.13
220,4,1,23.22
950,9,5,19.7
1139,83,3,7.46
4960,69,2,13.15
3147,84,5,43.7
777,3,1,34.34
4248,30,5,22.61
1823,83,2,3.2
843,88,2,42.48
1506,44,2,6.93
1117,57,2,29.53
215,12,5,8.11
4888,86,1,2.12
1297,43,1,9.36
3912,95,4,18.72
2240,90,2,24.28
3078,73,5,20.65
1201,61,4,8.57
4285,31,4,26.35
2420,22,2,8.16
1030,12,2,23.46
1554,67,4,19.16
4978,42,5,27.96
743,20,2,40.9
3259,65,4,22.47
4299,32,1,32.11
2638,42,1,15.68
3660,90,4,15.29
4553,17,4,10.14
2237,43,5,28.68
2830,57,1,5.86
2061,88,3,32.7
4396,49,3,17.36
1915,14,2,43.93
3457,92,5,34.14
4583,26,1,11.59
3333,80,2,13.39
1288,97,2,30.82
4623,32,2,34.05
4687,41,4,25.46
2608,58,1,42.45
4666,8,4,23.84
493,4,1,31.53
1423,89,3,49.52
2828,1,2,25.43
1326,13,2,27.49
373,23,4,5.63
815,44,3,6.79
4061,20,2,12.05
707,66,3,26.96
1993,25,3,41.36
393,88,3,5.47
316,38,4,33.76
2113,49,2,24.5
1012,47,3,41.31
319,41,2,43.13
1776,69,4,32.53
1130,93,3,10.8
664,10,1,25.13
338,11,4,42.88
2574,76,3,31.15
983,54,4,47.57
2471,4,1,40.87
1142,75,2,37.93
1932,48,5,2.26
3117,17,1,10.16
520,80,4,46.42
4552,58,1,46.06
4898,52,3,16.66
2961,20,1,24.46
2172,65,1,40.36
1921,81,3,9.7
3527,24,1,2.28
213,31,1,12.29
2182,46,3,38
4417,44,5,0.9
3596,22,2,26.47
2053,94,2,44.17
4568,5,1,43.21
1632,39,1,16.27
1022,88,2,27.07
1101,96,4,12
2846,85,2,19.57
3121,25,5,47.61
3539,70,2,37.15
3568,68,5,4.78
2249,16,5,17.15
694,48,4,4.7
2490,45,3,49.53
998,87,3,3.54
4625,2,2,48.15
721,59,3,23.84
1330,93,4,14.94
548,15,5,30.72
3407,64,3,9.93
1626,9,2,39.44
1760,42,3,1.25
184,70,5,34.57
4879,25,1,42.9
1387,76,4,17.52
785,89,2,19.07
4231,54,4,13.73
694,96,4,25.06
2487,53,5,1.36
4116,50,2,17.55
3310,53,4,14.67
4475,35,4,47.28
945,100,1,36.15
2452,11,2,4.75
1752,29,3,32.87
1033,49,5,19.49
3178,6,5,4.21
667,33,3,43.68
393,21,2,1.95
422,98,2,18.52
3770,62,1,18.33
4689,82,3,2.58
3403,39,1,35.71
3708,4,3,37.53
2645,36,5,31.2
2427,76,4,12.37
4872,30,5,44.61
2553,60,2,44.4
2342,19,5,9.82
2173,99,3,8.05
2262,66,3,43.83
3973,30,3,18.34
2931,56,5,23.26
2976,75,3,48.32
168,38,3,23.21
3256,52,5,28.93
1386,28,3,45.07
2745,52,1,11.68
3113,38,2,43.1
3702,89,1,25.52
492,84,5,35.14
3136,85,3,4.75
1020,92,3,3.01
465,69,1,5.11
3341,95,4,27.37
1089,62,2,37.03
2465,2,5,39.98
4417,89,4,48.54
288,50,4,2.86
3150,27,4,33.41
3387,88,4,22.24
1303,67,2,17.59
1314,11,5,16.51
4859,76,4,48.74
487,45,1,38.35
4242,92,5,22.86
1094,16,5,16.49
3778,51,1,25.68
3756,46,1,40.6
2564,69,3,12.57
568,13,4,4.92
1247,67,2,18.06
1156,39,3,19.24
2914,69,2,17.5
1512,97,3,46.73
711,36,4,46.66
3469,78,5,3.13
1398,95,3,48.55
980,33,5,1.23
564,10,5,31.39
4338,67,4,25.15
953,76,5,42.59
4789,30,4,18.85
1852,6,4,48.43
853,50,4,0.96
4767,27,1,31.74
3185,12,1,34.25
4599,83,3,13.65
4783,17,2,16.22
3453,44,5,1.62
879,92,3,23.14
2934,3,4,23.95
3084,10,3,1.45
2525,16,2,7.39
732,49,1,32.05
233,1,5,2.62
2957,34,3,35.12
3129,45,1,0.26
2346,4,1,41.78
1955,32,4,34.41
1884,5,3,29.18
3482,82,5,28.01
1714,12,1,36.08
3892,82,5,49.88
2375,54,5,12.71
32,25,5,20.36
2345,80,5,42.14
385,69,1,17.19
983,3,1,2.24
3421,39,4,27.06
1473,9,4,26.65
1265,30,5,37.94
3089,28,2,32.55
3167,50,4,1.13
1262,53,3,11.48
4078,96,2,44.82
1239,67,2,35.2
4119,47,4,14.27
1733,26,4,9.04
866,8,1,16.41
1714,33,5,10.01
674,94,2,10.61
3375,99,2,26
4745,48,5,15.01
2109,54,4,20.36
4580,67,4,46.75
2937,64,1,34.81
3667,29,1,1.72
4738,20,3,27.95
726,65,3,37.47
2757,60,5,20.21
3913,63,5,27.04
3331,6,2,33.09
1815,29,3,20.48
2276,3,1,25.69
2166,37,5,24.75
581,40,1,0.45
1702,74,5,46.96
879,60,1,37.15
2419,49,1,43.52
4439,73,1,21.75
3197,31,3,48.43
2423,20,1,9.26
4876,55,2,42.87
3747,2,1,20.47
4910,74,3,27.17
2530,94,2,37.8
4343,39,2,36.4
1473,63,3,6.11
3835,95,3,26.28
4987,48,1,4.3
346,46,5,0.78
4813,9,5,34.71
1687,80,4,48.59
2320,64,1,48.18
1752,34,1,21.11
2713,61,2,47.47
2456,92,3,17.55
2580,100,3,23.9
358,98,1,47.65
2419,36,3,37.22
332,83,4,40.33
2271,33,3,16.27
320,80,4,7.6
3121,35,3,45.3
1289,66,4,3.57
488,69,1,44.04
2882,70,1,7.41
2420,20,1,21.3
3175,60,2,37.43
625,95,3,46.5
4679,49,4,18.03
4842,10,4,45.19
1756,78,4,43.07
4542,76,3,13.37
2326,24,2,0.14
4382,22,2,29.46
3382,77,2,17.24
1556,25,2,23.34
4505,38,5,4.85
4797,15,2,8.26
1710,90,2,11.72
1556,81,4,24.9
1094,15,2,22.6
241,19,3,49.29
1778,90,1,13.96
3871,38,1,10.93
3534,2,3,14.25
3722,90,4,19.33
1326,34,2,26.92
3751,90,3,9.44
3297,62,4,30.12
4323,57,3,5.62
203,79,3,0.91
2887,62,2,2.58
1060,35,4,28.98
3780,18,1,15.37
4660,25,2,13.97
1758,39,4,5.44
2670,40,1,47.2
289,95,5,40.55
4917,65,2,37.72
2418,8,4,6.21
1025,37,4,16.45
1157,20,2,31.97
848,15,4,43.47
807,88,2,27.26
1469,68,3,13.24
2247,42,3,7.62
2747,89,5,8.04
857,93,4,49.76
4254,10,1,0.96
908,33,1,4.95
2540,47,3,6.09
1453,95,2,23.12
1726,97,3,25.1
1230,92,2,23.43
2698,73,4,15.78
675,70,4,36.64
929,2,3,20.03
2234,18,3,8.8
2516,55,2,48.12
4293,54,3,38.48
3929,59,2,39.92
4064,3,2,7.91
2549,20,3,15.75
4982,45,2,32.25
4226,87,1,2.61
3312,22,3,30.17
3809,26,5,45.22
4175,99,2,49.13
68,95,2,42.82
3709,23,2,24.61
3318,23,5,11.29
1327,79,2,32.3
2527,88,2,43.27
2069,76,5,6.41
3595,100,2,46.13
1577,15,4,47.43
3044,91,3,41.56
4929,96,4,19.04
2383,65,4,42.17
1306,55,4,24.14
15,16,5,5.17
1403,98,4,31.01
2368,99,2,41.66
4598,26,2,9.81
3789,35,4,39.74
231,24,2,32.58
1865,84,4,37.76
2270,4,4,4.07
1847,71,4,31.7
1010,13,3,20.17
2661,100,2,21.84
3388,55,3,41.01
2754,90,5,33.09
3146,82,5,31.12
2542,57,4,4.33
3944,25,1,3.98
2700,77,2,44.64
1829,66,3,10.68
1564,60,4,47.16
2260,37,1,10.44
342,25,3,31.66
4465,46,3,45.45
3422,83,4,25.63
2337,61,5,3.54
4551,22,4,26.22
683,62,4,23.82
3483,51,4,8.3
1789,56,4,13.84
2921,81,4,25.6
153,9,2,15.19
1061,26,3,27.78
1926,86,5,30.05
1238,55,3,1.32
330,1,3,10.23
177,12,2,16.69
406,38,5,26.75
1587,5,1,26.11
1139,87,3,35.2
1651,74,3,6.44
3967,100,2,41.53
4203,82,5,0.25
1147,79,3,0.87
2682,7,3,6.34
434,66,2,37.21
4117,99,5,9.53
242,26,5,5.71
2324,38,2,35.72
103,41,2,33.26
368,71,3,45.68
1114,91,2,45.01
4045,99,3,40.75
1089,62,4,33.79
4284,75,3,28.41
4577,54,2,5.4
3213,10,4,3.94
274,79,2,12.49
2103,9,3,47.83
2694,52,2,12.72
3357,70,3,20.79
1799,73,3,6.71
571,97,1,41.23
3919,39,5,4.68
1551,43,4,48.19
4268,46,4,28.97
1534,14,1,45.86
419,41,4,20.05
2790,6,4,6.66
3640,39,5,42.66
891,86,3,8.25
2268,24,1,27.53
2909,58,1,47.53
4535,87,1,36.44
3206,12,4,17.46
653,6,1,11.67
1990,60,1,46.91
4508,46,3,11.65
3628,83,5,23.66
2354,10,4,40.09
2660,73,2,20.76
2609,17,3,20.16
3699,61,5,35.06
1716,26,3,14.1
3445,40,4,39.17
2763,86,2,3.43
3180,28,4,42.76
2411,82,3,39.06
1333,47,5,16.63
3337,79,4,36.36
1835,86,2,1.45
3381,33,5,3.77
837,15,5,22.43
1841,83,4,18.41
811,77,5,35.65
1695,3,3,49.1
2119,99,2,35.68
4690,26,4,2.58
3804,26,2,36.4
3317,88,3,5.78
2397,82,5,29.47
88,22,5,35.01
3662,71,3,13.55
2143,64,5,34.26
2848,78,5,1.48
4544,60,3,14.39
1980,60,3,38.95
251,77,3,38.42
2839,42,3,47.08
4770,38,2,48.15
609,90,1,1.44
1744,65,1,37.25
571,17,5,6.38
1846,21,4,13.28
364,26,1,6.23
209,26,5,6.14
786,48,5,0.3
2181,48,2,29.51
3516,4,1,41.94
1675,20,4,8.3
2770,20,4,40.91
4408,31,5,3.73
3830,100,4,42.85
4805,66,2,14.53
1655,46,3,25.61
1579,74,2,38.34
2423,54,4,14.8
2720,24,3,30.33
2748,32,3,38.27
2005,33,4,28.39
2841,49,2,8.97
4590,35,5,16.77
4847,4,2,2.7
3184,40,2,19.78
4146,68,3,48.71
4635,97,1,6.7
3244,44,1,36.97
638,52,1,44.25
1750,93,1,19.57
493,17,3,38.51
3929,16,3,46.87
1209,42,3,42.26
671,61,3,18.33
3761,36,3,13.2
636,58,3,16.98
4847,7,2,3.59
3085,60,3,4.09
1574,5,4,43.07
2407,77,4,34.03
3968,41,3,32.09
705,5,5,19.65
3099,5,5,41.99
279,11,4,20.8
3206,99,5,3.18
478,40,2,16.65
4192,65,4,10.1
4235,34,2,27.57
610,20,5,43.6
3418,81,4,23.84
1607,36,5,49.53
2425,28,2,8.73
2587,54,3,9.34
4048,5,4,45.71
3996,73,5,19.25
534,81,2,5.13
4946,78,2,38.91
4852,47,3,39.87
2913,9,2,26.31
4767,29,2,34.65
2622,8,5,10.39
3277,91,2,31.81
1853,88,2,44.29
4166,79,5,35.03
1489,1,2,19.21
4451,5,2,41.25
149,57,5,19.98
4311,45,4,29
383,68,1,5.2
155,61,2,46.73
3886,54,1,49.43
4350,59,5,7.3
1028,76,1,31.42
3989,94,4,37.37
3252,82,5,18.99
3287,15,2,8.95
73,22,2,41.59
4660,65,5,14.81
4095,43,2,26.67
2983,85,2,10.27
871,70,1,39.05
2410,30,2,24.28
2502,61,5,6.37
81,95,2,43.45
1834,9,5,11.82
2505,90,2,1.05
30,49,4,23.85
1629,12,3,10.33
2820,49,2,32.59
913,24,3,9.39
636,17,1,22.71
1881,53,4,9.57
4739,85,3,49.98
403,4,3,43.29
3685,54,4,5.48
4695,74,3,14.23
1784,29,5,37.42
3689,79,5,25.65
1058,26,1,41.98
3073,83,5,39.88
4691,21,5,49.37
4873,79,4,1.01
3325,99,5,7.26
3289,34,5,4.34
1442,75,2,15.35
2693,31,5,19.95
2277,28,2,9.48
2701,68,2,18.88
1134,62,4,5.78
1226,37,4,32.21
670,35,2,1.88
4880,97,1,46.28
2724,32,5,33.98
4118,60,1,32.34
3745,42,2,14.53
4072,84,3,5.71
4768,36,4,30.65
719,45,2,40.72
2830,16,4,6.98
3069,48,3,11.28
4394,51,4,12.23
624,72,1,34.79
667,40,1,49.68
3959,45,3,20.15
3147,89,2,20.24
2553,67,4,43.58
1748,56,5,19.34
4217,38,4,17.68
4920,93,1,2.21
4892,38,5,7.33
3185,53,2,8.74
2491,93,2,24.77
1235,68,5,1.13
1561,47,3,20
1920,84,2,39.02
2353,2,3,15.88
3611,90,2,24.97
1710,89,5,47.43
610,56,5,7.05
2327,26,2,17.92
533,40,1,8.32
1588,28,1,12.08
3153,45,1,32.3
2387,73,2,8.9
1599,77,2,39.39
3063,88,4,26.11
82,72,5,8.96
3885,45,2,29.2
2551,29,4,48.21
2984,66,4,20.36
676,70,5,47.07
1092,10,1,46.3
2199,38,2,12.3
2835,47,2,26.3
4150,9,3,13.81
3160,28,4,16.27
610,94,5,34.27
384,62,4,36.72
1745,12,5,34
3397,27,1,21
820,16,4,11.89
351,8,3,0.02
3016,40,5,40.74
2590,31,4,34.52
850,78,3,33.65
2573,4,3,36.09
4074,55,1,1.32
4382,29,4,18.95
4307,20,2,5.31
4471,6,2,39.63
1170,98,1,32.28
2985,33,5,21.85
3074,77,5,26.13
15,19,2,41.4
2548,44,3,47.24
1889,63,3,47.97
823,25,4,36.3
4406,40,5,13.33
127,64,2,38.09
225,100,3,46.13
2978,68,5,34.34
1555,98,3,18.89
1172,3,1,6.05
4207,43,4,6.97
2160,99,3,28.58
2928,55,2,29.8
2358,100,5,49.08
852,25,5,35.62
4285,22,2,38.86
4636,55,1,46.34
1135,21,3,41.03
1550,34,2,7.63
3320,11,4,24.81
371,74,4,24.49
4159,84,3,42.09
1355,10,2,3.08
844,80,4,16.37
2908,49,4,32.36
2949,96,5,17.73
1938,1,1,44.25
2721,78,5,28.18
3504,48,3,20.79
2343,32,4,7.64
1255,53,4,41.09
4237,32,1,40.84
3362,11,1,31.92
3431,60,5,11.45
4566,86,2,4.17
4204,72,5,35.25
3311,69,2,10.12
3971,77,4,29.06
3318,21,1,45.17
4028,56,4,14.7
1597,68,5,27.25
4724,52,4,12.19
450,47,5,45.64
1366,71,2,37.95
1720,65,5,24.91
36,54,4,34.44
1475,10,4,42.21
4069,12,4,32.34
608,24,3,34.39
4663,72,1,48.29
667,83,5,4.71
2407,59,1,21.25
4544,81,2,11.5
3068,25,5,29.22
2035,46,2,47.44
2106,70,3,12.23
2207,16,1,25.86
4101,44,3,24.71
3423,77,1,20.93
1770,98,3,38.23
3905,4,3,25.41
2447,1,2,42.28
3317,8,3,0.95
4562,23,2,31.31
2558,22,4,4.88
4616,3,5,13.4
4506,63,2,43.06
943,99,5,9.91
2208,17,2,36.47
2185,96,1,25.13
3871,15,1,10.58
4021,62,2,2.49
3966,20,5,0.21
4858,49,1,29.88
890,20,3,14.61
4638,5,3,9.46
2082,74,3,26.63
1272,4,1,32.62
52,16,1,48.53
1035,85,5,14.15
2866,66,5,15.52
4546,22,5,33.45
4285,26,1,22.44
2865,20,1,1.9
3885,45,5,31.81
2481,93,5,43.33
4482,95,1,9.51
328,63,3,33.96
3699,9,4,30.44
3223,26,5,22.47
1452,15,2,17.66
2523,74,5,39.94
1926,54,5,28.09
4277,88,2,37.04
2806,15,5,44.47
1298,22,5,38.64
528,7,5,22.72
2960,24,3,0.27
2621,16,5,35.42
1040,66,1,28.28
3853,31,2,40.29
1184,9,4,28.99
4022,14,3,29.63
3655,13,3,23.07
1732,93,5,47.27
4231,19,5,7.72
595,4,3,19.75
930,3,3,7.71
2514,31,3,38.09
1566,93,2,33.16
4329,77,1,8.35
4497,67,5,6.96
915,90,5,2.43
1904,20,3,10.76
1785,32,1,10.21
3691,72,5,36.52
4313,77,4,26.73
1483,69,1,2.24
3090,1,2,33.83
1244,25,5,32.76
3293,49,4,34.58
3729,57,3,2.82
760,51,1,45.59
3053,90,1,29.56
450,56,2,8.16
4098,24,1,18.6
4936,88,3,11
4972,45,5,11.65
3859,75,2,11.48
3686,59,3,23.43
479,50,4,31.46
655,66,4,44.02
2231,43,2,33.47
4836,93,2,27.97
3192,11,2,6.83
810,88,3,24.6
1532,59,4,24.38
2307,83,5,24.98
519,55,4,29.37
4385,98,5,45.24
2797,50,1,21.35
192,100,1,6.68
2994,12,4,1.78
175,47,3,47.71
2455,8,2,49.77
1462,20,2,48.77
4214,50,4,46.67
1867,75,5,0.25
2479,48,3,14.72
1978,66,5,3.77
3742,6,5,36.49
2724,21,5,42.73
1871,76,3,36.94
4865,31,2,15.67
4247,94,5,14.99
4009,82,2,41.48
1347,64,3,44.74
2763,36,3,9.92
874,82,3,13.98
763,85,4,38.45
4389,69,5,34.03
4840,48,2,1.25
2025,7,4,13.2
1507,100,4,25.34
1288,1,2,19.38
964,48,4,44.77
3140,45,2,47.14
4081,57,5,30.03
940,22,5,2.59
3237,64,4,1.21
1688,23,3,40.5
2823,13,4,35.2
4167,71,4,20.9
516,77,5,2.88
3673,83,4,32.09
3106,100,2,23.13
50,47,1,5.05
1898,47,2,18.52
2557,5,5,22.49
2620,47,3,4.64
3165,28,4,1.42
845,92,3,4.52
4357,10,5,33.12
321,41,3,16.82
318,68,3,7.04
215,25,4,44.05
3571,39,3,8.85
4460,8,5,35.41
1656,15,3,35.76
2914,35,5,48.51
3190,63,3,13.56
3039,23,5,15.46
3778,33,4,20.08
3205,14,3,26.52
199,70,5,46.3
4603,5,1,42.36
661,92,1,30.98
4091,4,4,26.35
1391,94,1,6.02
3675,77,4,15.38
2771,26,2,43.6
3080,33,1,8.32
4431,25,2,11.32
3501,31,4,34.62
796,91,4,34.29
1540,58,1,11.26
46,3,1,3.73
2008,72,2,43.77
3652,80,3,24.54
2823,99,2,45.61
1614,8,4,32.98
1779,49,2,10.49
3573,1,1,41.72
3501,63,4,39.26
238,26,2,39.09
4906,59,3,6.5
64,10,4,9.89
1679,6,3,43.54
3966,83,2,34.39
2402,88,5,8.83
2932,5,3,21.94
4984,88,5,49.35
1899,10,1,15.2
731,91,4,24.94
